Algorithm	File	ncol	Runtime	F1 Score
clustine_feature_select	glass.arff	3	0.025	0.681453650371974
clustine_just_compute	glass.arff	3	0.015	0.758327476224172
wrap_kNN	glass.arff	3	0.178	0.9360295833057
MI_rank	glass.arff	3	0.015	0.933762306194223
random_cols	glass.arff	3	0	0.661055457373993
random_cols	glass.arff	3	0	0.754758010021016
clustine_feature_select	glass.arff	3	0.01	0.673039841958165
clustine_just_compute	glass.arff	3	0.009	0.739211357554481
wrap_kNN	glass.arff	3	0.182	0.9360295833057
MI_rank	glass.arff	3	0.008	0.933762306194223
random_cols	glass.arff	3	0	0.584765657749535
random_cols	glass.arff	3	0	0.712497176563759
clustine_feature_select	glass.arff	3	0.011	0.671923920842244
clustine_just_compute	glass.arff	3	0.008	0.730529129107547
wrap_kNN	glass.arff	3	0.171	0.9360295833057
MI_rank	glass.arff	3	0.007	0.932928794809257
random_cols	glass.arff	3	0	0.688488837054533
random_cols	glass.arff	3	0	0.679424633215854
clustine_feature_select	liver.arff	3	0.012	0.819064027308497
clustine_just_compute	liver.arff	3	0.007	0.625907642132196
wrap_kNN	liver.arff	3	0.134	0.888725831233124
MI_rank	liver.arff	3	0.006	0.895045048007509
random_cols	liver.arff	3	0	0.672120160610061
random_cols	liver.arff	3	0	0.469435178791044
clustine_feature_select	liver.arff	3	0.014	0.805745886290672
clustine_just_compute	liver.arff	3	0.013	0.624728683014099
wrap_kNN	liver.arff	3	0.148	0.894564187706746
MI_rank	liver.arff	3	0.01	0.891639023039047
random_cols	liver.arff	3	0	0.859825707978356
random_cols	liver.arff	3	0	0.683328574204216
clustine_feature_select	liver.arff	3	0.013	0.812968812375796
clustine_just_compute	liver.arff	3	0.008	0.626337211740677
wrap_kNN	liver.arff	3	0.128	0.894769481134546
MI_rank	liver.arff	3	0.01	0.885648307195197
random_cols	liver.arff	3	0	0.853832414346359
random_cols	liver.arff	3	0	0.664769726728517
clustine_feature_select	shape.arff	3	0.013	0.912974585247206
clustine_just_compute	shape.arff	3	0.017	0.880839442756869
wrap_kNN	shape.arff	3	0.381	0.923941299710635
MI_rank	shape.arff	3	0.019	0.924814826405502
random_cols	shape.arff	3	0	0.782103059624342
random_cols	shape.arff	3	0	0.931122376484043
clustine_feature_select	shape.arff	3	0.018	0.912974585247206
clustine_just_compute	shape.arff	3	0.013	0.880839442756869
wrap_kNN	shape.arff	3	0.314	0.918302719083611
MI_rank	shape.arff	3	0.015	0.918430897834074
random_cols	shape.arff	3	0	0.800683079581091
random_cols	shape.arff	3	0	0.884383816152873
clustine_feature_select	shape.arff	3	0.013	0.912974585247206
