Algorithm	File	ncol	Runtime	F1 Score
clustine_feature_select	glass.arff	3	0.015	0.676269273232585
clustine_just_compute	glass.arff	3	0.012	0.727708448393253
wrap_kNN	glass.arff	3	0.216	0.930296887566288
MI_rank	glass.arff	3	0.009	0.949899151495683
random_cols	glass.arff	3	0	0.639795449486863
random_cols	glass.arff	3	0	0.853948811543824
clustine_feature_select	glass.arff	3	0.011	0.675483630699842
clustine_just_compute	glass.arff	3	0.009	0.725448290661397
wrap_kNN	glass.arff	3	0.17	0.949899151495683
MI_rank	glass.arff	3	0.01	0.949899151495683
random_cols	glass.arff	3	0	0.688518483436828
random_cols	glass.arff	3	0	0.833990900570285
clustine_feature_select	glass.arff	3	0.014	0.6777823050846
clustine_just_compute	glass.arff	3	0.016	0.715615505287884
wrap_kNN	glass.arff	3	0.168	0.949899151495683
MI_rank	glass.arff	3	0.01	0.949899151495683
random_cols	glass.arff	3	0	0.64676712355733
random_cols	glass.arff	3	0.001	0.949899151495683
clustine_feature_select	liver.arff	3	0.02	0.7942403428603
clustine_just_compute	liver.arff	3	0.014	0.631249855657312
wrap_kNN	liver.arff	3	0.155	0.902353213667941
MI_rank	liver.arff	3	0.011	0.902282682931515
random_cols	liver.arff	3	0	0.861286852877568
random_cols	liver.arff	3	0	0.862134441859298
clustine_feature_select	liver.arff	3	0.024	0.793804521348174
clustine_just_compute	liver.arff	3	0.016	0.62968333460519
wrap_kNN	liver.arff	3	0.149	0.908157873190267
MI_rank	liver.arff	3	0.013	0.902290792700219
random_cols	liver.arff	3	0	0.682951417074349
random_cols	liver.arff	3	0	0.524456008512645
clustine_feature_select	liver.arff	3	0.016	0.789076852502858
clustine_just_compute	liver.arff	3	0.012	0.637053335983942
wrap_kNN	liver.arff	3	0.136	0.911090668293926
MI_rank	liver.arff	3	0.011	0.9052860087716
random_cols	liver.arff	3	0	0.870111979593198
random_cols	liver.arff	3	0	0.653870431907063
clustine_feature_select	shape.arff	3	0.027	0.877858142819818
clustine_just_compute	shape.arff	3	0.03	0.820340229047386
wrap_kNN	shape.arff	3	0.321	0.950610992506279
MI_rank	shape.arff	3	0.021	0.81138223534855
random_cols	shape.arff	3	0	0.761013547559319
random_cols	shape.arff	3	0	0.703535353196761
clustine_feature_select	shape.arff	3	0.019	0.869605978317653
clustine_just_compute	shape.arff	3	0.026	0.807113062891527
wrap_kNN	shape.arff	3	0.285	0.950610992506279
MI_rank	shape.arff	3	0.023	0.81138223534855
random_cols	shape.arff	3	0	0.819074574081744
random_cols	shape.arff	3	0	0.760545039954083
clustine_feature_select	shape.arff	3	0.022	0.884363990773034
clustine_just_compute	shape.arff	3	0.02	0.820340229047386
wrap_kNN	shape.arff	3	0.311	0.950610992506279
MI_rank	shape.arff	3	0.017	0.81138223534855
random_cols	shape.arff	3	0	0.864808402266178
random_cols	shape.arff	3	0	0.80173738078643
clustine_feature_select	diabetes.arff	3	0.016	0.798097633956437
clustine_just_compute	diabetes.arff	3	0.018	0.623497382469794
wrap_kNN	diabetes.arff	3	0.307	0.818572087455298
MI_rank	diabetes.arff	3	0.016	0.798131956778786
random_cols	diabetes.arff	3	0	0.600776709560925
random_cols	diabetes.arff	3	0	0.810230194046383
clustine_feature_select	diabetes.arff	3	0.019	0.797066684476377
clustine_just_compute	diabetes.arff	3	0.017	0.62436393302508
wrap_kNN	diabetes.arff	3	0.251	0.811238188135162
MI_rank	diabetes.arff	3	0.012	0.796875477617875
random_cols	diabetes.arff	3	0	0.783065033093604
random_cols	diabetes.arff	3	0	0.80181256706026
clustine_feature_select	diabetes.arff	3	0.02	0.798251655249798
