Algorithm	File	ncol	Runtime	Redundancy	F1 Score
clustine_feature_select	glass.arff	3	0.013	0.3831424	0.69718963938157
clustine_deduplicate	glass.arff	3	0.028	0.09023481	0.599919125498974
clustine_just_compute	glass.arff	3	0.015	0.1939212	0.729554385475892
wrap_kNN	glass.arff	3	0.194	0.2125938	0.933941092015778
MI_rank	glass.arff	3	0.013	0.2125938	0.933941092015778
random_cols	glass.arff	3	0	0.2179453	0.669058924594017
random_cols	glass.arff	3	0	0.1406596	0.714009700792668
clustine_feature_select	glass.arff	3	0.014	0.3831424	0.689826242214899
clustine_deduplicate	glass.arff	3	0.011	0.09023481	0.592753407122192
clustine_just_compute	glass.arff	3	0.013	0.1939212	0.730949282612456
wrap_kNN	glass.arff	3	0.196	0.2125938	0.933941092015778
MI_rank	glass.arff	3	0.009	0.2125938	0.933941092015778
random_cols	glass.arff	3	0	0.2306698	0.655157003966662
random_cols	glass.arff	3	0	0.2399439	0.685025957502729
clustine_feature_select	glass.arff	3	0.009	0.3831424	0.695329366541553
clustine_deduplicate	glass.arff	3	0.012	0.09023481	0.590912576492425
clustine_just_compute	glass.arff	3	0.01	0.1939212	0.729554385475892
wrap_kNN	glass.arff	3	0.19	0.2064092	0.936287158936245
MI_rank	glass.arff	3	0.008	0.2125938	0.933941092015778
random_cols	glass.arff	3	0	0.2066222	0.834149209391344
random_cols	glass.arff	3	0	0.1406596	0.70590246258191
clustine_feature_select	liver.arff	3	0.009	0.1525262	0.800080287602634
clustine_deduplicate	liver.arff	3	0.027	0.1460565	0.612047727749352
clustine_just_compute	liver.arff	3	0.013	0.08933522	0.633330833812456
wrap_kNN	liver.arff	3	0.129	0.1754801	0.894830438282857
MI_rank	liver.arff	3	0.007	0.1754801	0.895237367685288
random_cols	liver.arff	3	0	0.2600108	0.664036285480871
random_cols	liver.arff	3	0	0.08933522	0.613568631659142
clustine_feature_select	liver.arff	3	0.011	0.1525262	0.786685095394318
clustine_deduplicate	liver.arff	3	0.012	0.1460565	0.624197028134846
clustine_just_compute	liver.arff	3	0.009	0.08933522	0.62471859240874
wrap_kNN	liver.arff	3	0.129	0.1754801	0.889341570844034
MI_rank	liver.arff	3	0.007	0.1754801	0.886386780401829
random_cols	liver.arff	3	0	0.4087035	0.667938285590374
random_cols	liver.arff	3	0	0.2911483	0.494873848272342
clustine_feature_select	liver.arff	3	0.015	0.1525262	0.797813078405197
clustine_deduplicate	liver.arff	3	0.017	0.1460565	0.612294443699047
clustine_just_compute	liver.arff	3	0.01	0.08933522	0.628114239265462
wrap_kNN	liver.arff	3	0.13	0.1754801	0.882934966515233
MI_rank	liver.arff	3	0.007	0.1754801	0.882971355247274
random_cols	liver.arff	3	0	0.3828126	0.688129703304238
random_cols	liver.arff	3	0	0.133186	0.675976472851929
clustine_feature_select	shape.arff	3	0.03	0.27497	0.908956565136974
clustine_deduplicate	shape.arff	3	0.021	0.2749148	0.893769053830857
clustine_just_compute	shape.arff	3	0.019	0.3359256	0.808950854606645
wrap_kNN	shape.arff	3	0.338	0.246876	0.932861180038599
MI_rank	shape.arff	3	0.018	0.3531564	0.927051218161275
random_cols	shape.arff	3	0	0.3221184	0.841112113308227
random_cols	shape.arff	3	0	0.1576747	0.922953559843103
clustine_feature_select	shape.arff	3	0.022	0.27497	0.916917091452764
clustine_deduplicate	shape.arff	3	0.019	0.2749148	0.90358495564347
clustine_just_compute	shape.arff	3	0.021	0.3359256	0.820020949047583
wrap_kNN	shape.arff	3	0.334	0.3256506	0.919321942029785
MI_rank	shape.arff	3	0.017	0.3531564	0.927288027192651
random_cols	shape.arff	3	0	0.305893	0.771077877964394
random_cols	shape.arff	3	0	0.305893	0.771077877964394
clustine_feature_select	shape.arff	3	0.028	0.27497	0.916917091452764
clustine_deduplicate	shape.arff	3	0.022	0.2749148	0.888206026789993
clustine_just_compute	shape.arff	3	0.019	0.3359256	0.820375033369059
wrap_kNN	shape.arff	3	0.325	0.246876	0.945033264820856
MI_rank	shape.arff	3	0.018	0.3531564	0.927288027192651
random_cols	shape.arff	3	0	0.4864623	0.901138428624572
random_cols	shape.arff	3	0.001	0.1277954	0.850194586036322
clustine_feature_select	diabetes.arff	3	0.013	0.1411101	0.76873660960769
clustine_deduplicate	diabetes.arff	3	0.025	0.2635143	0.670751302292131
clustine_just_compute	diabetes.arff	3	0.012	0.1411101	0.764052000767112
wrap_kNN	diabetes.arff	3	0.268	0.2200129	0.794764132803497
MI_rank	diabetes.arff	3	0.016	0.3083837	0.684206202527777
random_cols	diabetes.arff	3	0	0.1973297	0.739097424302136
random_cols	diabetes.arff	3	0	0.1973297	0.75355204664355
clustine_feature_select	diabetes.arff	3	0.016	0.1411101	0.766474044900525
clustine_deduplicate	diabetes.arff	3	0.02	0.2635143	0.67485301262386
clustine_just_compute	diabetes.arff	3	0.015	0.1411101	0.767841235402596
wrap_kNN	diabetes.arff	3	0.256	0.2200129	0.802364000971913
MI_rank	diabetes.arff	3	0.016	0.3083837	0.677296595482137
random_cols	diabetes.arff	3	0	0.08948611	0.753768915568373
random_cols	diabetes.arff	3	0	0.3424049	0.568770047009167
clustine_feature_select	diabetes.arff	3	0.013	0.1411101	0.763277517470806
clustine_deduplicate	diabetes.arff	3	0.02	0.2635143	0.677273269214045
clustine_just_compute	diabetes.arff	3	0.013	0.1411101	0.766864829061763
wrap_kNN	diabetes.arff	3	0.263	0.2200129	0.801610954352618
MI_rank	diabetes.arff	3	0.014	0.3083837	0.679791400905394
random_cols	diabetes.arff	3	0	0.2123448	0.751940493099086
random_cols	diabetes.arff	3	0	0.2184886	0.601932577558176
clustine_feature_select	vowel.arff	3	0.015	0.1452216	0.822768953239383
clustine_deduplicate	vowel.arff	3	0.023	0.3115126	0.760249764397408
clustine_just_compute	vowel.arff	3	0.015	0.2591497	0.725919134583849
wrap_kNN	vowel.arff	3	0.364	0.0797993	0.847182680130236
MI_rank	vowel.arff	3	0.015	0.2524936	0.795324922900391
random_cols	vowel.arff	3	0	0.1581039	0.837119299982336
random_cols	vowel.arff	3	0	0.1335185	0.860924685166169
clustine_feature_select	vowel.arff	3	0.017	0.1452216	0.823720832297752
clustine_deduplicate	vowel.arff	3	0.021	0.3115126	0.75546043445634
clustine_just_compute	vowel.arff	3	0.022	0.2591497	0.729948065060934
wrap_kNN	vowel.arff	3	0.343	0.0797993	0.846058320845899
MI_rank	vowel.arff	3	0.02	0.2524936	0.792768977501489
random_cols	vowel.arff	3	0	0.2792495	0.727936137816181
random_cols	vowel.arff	3	0	0.2455331	0.730631512437844
clustine_feature_select	vowel.arff	3	0.021	0.1452216	0.82364433565053
clustine_deduplicate	vowel.arff	3	0.025	0.3115126	0.754443183416644
clustine_just_compute	vowel.arff	3	0.018	0.2591497	0.728588723436742
wrap_kNN	vowel.arff	3	0.362	0.1335185	0.86094688254823
MI_rank	vowel.arff	3	0.019	0.2524936	0.795696275474122
random_cols	vowel.arff	3	0	0.1817325	0.765042452756852
random_cols	vowel.arff	3	0.001	0.2158067	0.780261367845259
clustine_feature_select	breast.arff	3	0.024	0.6811728	0.821214995526443
clustine_deduplicate	breast.arff	3	0.042	0.5143359	0.795694181589378
clustine_just_compute	breast.arff	3	0.034	0.2509498	0.589220300551932
wrap_kNN	breast.arff	3	0.662	0.3457945	0.872501229641791
MI_rank	breast.arff	3	0.036	0.9931622	0.707372931516017
random_cols	breast.arff	3	0.001	0.3764057	0.805838163691771
random_cols	breast.arff	3	0.001	0.2953178	0.666411176442188
clustine_feature_select	breast.arff	3	0.047	0.6811728	0.816788544784203
clustine_deduplicate	breast.arff	3	0.035	0.5143359	0.791108704938292
clustine_just_compute	breast.arff	3	0.043	0.2509498	0.593558441156765
wrap_kNN	breast.arff	3	0.659	0.3457945	0.873284508792963
MI_rank	breast.arff	3	0.039	0.9931622	0.700820149551077
random_cols	breast.arff	3	0.001	0.2982265	0.777791995374443
random_cols	breast.arff	3	0	0.1565779	0.776119006111862
clustine_feature_select	breast.arff	3	0.026	0.6811728	0.811834215226293
clustine_deduplicate	breast.arff	3	0.046	0.5143359	0.798149361618503
clustine_just_compute	breast.arff	3	0.03	0.2509498	0.596607740932684
wrap_kNN	breast.arff	3	0.756	0.3457945	0.87135459347253
MI_rank	breast.arff	3	0.049	0.9931622	0.690547403659074
random_cols	breast.arff	3	0	0.1229967	0.53849779481275
random_cols	breast.arff	3	0	0.2933936	0.780690768312948
clustine_feature_select	letrec.arff	3	0.14	0.08050271	0.725686426851395
clustine_deduplicate	letrec.arff	3	0.179	0.08050271	0.738667423982249
clustine_just_compute	letrec.arff	3	0.136	0.7604062	0.646983816905971
wrap_kNN	letrec.arff	3	12.863	0.03077161	0.759639876732581
MI_rank	letrec.arff	3	0.203	0.7512545	0.600987793401793
random_cols	letrec.arff	3	0	0.2291248	0.667134879493437
random_cols	letrec.arff	3	0	0.2961157	0.608371406018156
clustine_feature_select	letrec.arff	3	0.141	0.08050271	0.741570315262983
clustine_deduplicate	letrec.arff	3	0.196	0.08050271	0.734375065200756
clustine_just_compute	letrec.arff	3	0.146	0.7604062	0.641550775202133
wrap_kNN	letrec.arff	3	12.964	0.03077161	0.758104319256024
MI_rank	letrec.arff	3	0.216	0.7512545	0.587177507444591
random_cols	letrec.arff	3	0	0.06418746	0.690318905512938
random_cols	letrec.arff	3	0	0.08865763	0.676636837190158
clustine_feature_select	letrec.arff	3	0.141	0.08050271	0.733999011153643
clustine_deduplicate	letrec.arff	3	0.192	0.08050271	0.732138299300159
clustine_just_compute	letrec.arff	3	0.164	0.7604062	0.637399294886604
wrap_kNN	letrec.arff	3	12.834	0.05094984	0.752607583086917
MI_rank	letrec.arff	3	0.218	0.7512545	0.595072171336979
random_cols	letrec.arff	3	0	0.2833008	0.630263008442203
random_cols	letrec.arff	3	0	0.3168502	0.51033877572891
clustine_feature_select	insurance.arff	3	0.175	0.381441	0.942349078214202
clustine_deduplicate	insurance.arff	3	0.436	0.2356218	0.871808739705842
clustine_just_compute	insurance.arff	3	0.196	0.02360682	0.819987188880236
wrap_kNN	insurance.arff	3	41.813	0.3132735	0.967820618350207
MI_rank	insurance.arff	3	0.352	0.6989388	0.801939701501682
random_cols	insurance.arff	3	0.001	0.01774954	NA
random_cols	insurance.arff	3	0	0.004671761	NA
clustine_feature_select	insurance.arff	3	0.178	0.381441	0.944784219388151
clustine_deduplicate	insurance.arff	3	0.414	0.2356218	0.87599902255134
clustine_just_compute	insurance.arff	3	0.197	0.02360682	0.822546352071841
wrap_kNN	insurance.arff	3	41.666	0.3132735	0.969417839151986
MI_rank	insurance.arff	3	0.352	0.6989388	0.811893272525275
random_cols	insurance.arff	3	0	0.01704201	0.373959170304143
random_cols	insurance.arff	3	0.001	0.1204192	0.42674535181137
clustine_feature_select	insurance.arff	3	0.191	0.381441	0.944386179831152
clustine_deduplicate	insurance.arff	3	0.422	0.2356218	0.871766639331771
clustine_just_compute	insurance.arff	3	0.194	0.02360682	0.825898602743988
wrap_kNN	insurance.arff	3	41.574	0.3131496	0.969422154712837
MI_rank	insurance.arff	3	0.361	0.6989388	0.805236112472545
random_cols	insurance.arff	3	0	0.03795379	0.391578331597692
random_cols	insurance.arff	3	0	0.02779897	0.496678250142352
clustine_feature_select	internet_usage.arff	3	0.177	0.07852149	0.999193380984182
clustine_deduplicate	internet_usage.arff	3	0.401	0.07852149	0.999193380984182
clustine_just_compute	internet_usage.arff	3	0.215	0.1228279	0.471755138337241
