Algorithm	File	ncol	Runtime	Redundancy	F1 Score
all_cols	glass.arff	3	0	0.2318579	0.925648040203183
clustine_feature_select	glass.arff	3	0.025	0.3831424	0.662976719847524
clustine_deduplicate	glass.arff	3	0.064	0.09023481	0.593234378550346
clustine_just_compute	glass.arff	3	0.009	0.1939212	0.708710707240289
wrap_kNN	glass.arff	3	0.177	0.2064092	0.928209214126207
MI_rank	glass.arff	3	0.009	0.2125938	0.931059182841133
random_cols	glass.arff	3	0	0.06330965	0.810962112570764
random_cols	glass.arff	3	0	0.2066222	0.840958284286911
all_cols	glass.arff	3	0	0.2318579	0.925648040203183
clustine_feature_select	glass.arff	3	0.017	0.3831424	0.663605720476525
clustine_deduplicate	glass.arff	3	0.02	0.09023481	0.592578360819897
clustine_just_compute	glass.arff	3	0.019	0.1939212	0.705634492493573
wrap_kNN	glass.arff	3	0.178	0.2125938	0.931059182841133
MI_rank	glass.arff	3	0.01	0.2125938	0.931059182841133
random_cols	glass.arff	3	0	0.4784774	0.687886807786336
random_cols	glass.arff	3	0	0.4296504	0.627879155390902
all_cols	glass.arff	3	0	0.2318579	0.925648040203183
clustine_feature_select	glass.arff	3	0.01	0.3831424	0.664040214270179
clustine_deduplicate	glass.arff	3	0.013	0.09023481	0.587853275305465
clustine_just_compute	glass.arff	3	0.014	0.1939212	0.714601354764459
wrap_kNN	glass.arff	3	0.154	0.2125938	0.931059182841133
MI_rank	glass.arff	3	0.009	0.2125938	0.931059182841133
random_cols	glass.arff	3	0	0.2807789	0.665128056436997
random_cols	glass.arff	3	0	0.3547239	0.656865965771306
all_cols	liver.arff	3	0	0.2646102	0.91200021591127
clustine_feature_select	liver.arff	3	0.016	0.1525262	0.802842535610566
clustine_deduplicate	liver.arff	3	0.014	0.1460565	0.621767323943273
clustine_just_compute	liver.arff	3	0.007	0.08933522	0.63449402298348
wrap_kNN	liver.arff	3	0.112	0.1754801	0.878439877863574
MI_rank	liver.arff	3	0.011	0.1754801	0.878439877863574
random_cols	liver.arff	3	0	0.3505024	0.693675966741995
random_cols	liver.arff	3	0	0.08933522	0.631177212950335
all_cols	liver.arff	3	0	0.2646102	0.908810170161364
clustine_feature_select	liver.arff	3	0.011	0.1525262	0.794103346674812
clustine_deduplicate	liver.arff	3	0.013	0.1460565	0.615893015396495
clustine_just_compute	liver.arff	3	0.007	0.08933522	0.631826954050203
wrap_kNN	liver.arff	3	0.122	0.1754801	0.881526144254188
MI_rank	liver.arff	3	0.008	0.1754801	0.881556223441901
random_cols	liver.arff	3	0	0.3206463	0.614081547342053
random_cols	liver.arff	3	0	0.268941	0.673846453827974
all_cols	liver.arff	3	0.001	0.2646102	0.911304740470048
